,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
120,DEN @ LAR,Austin Trammell,3000,,,,,,,,,,,,,,,,,,,,
121,JAC @ NYJ,Tim Jones,3000,,,,,,,,,,,,,,,,,,,,
122,LV @ PIT,Cody White,3000,,,,,,,,,,,,,,,,,,,,
123,ATL @ BAL,Emeka Emezie,3000,,,,,,,,,,,,,,,,,,,,
124,PHI @ DAL,Dennis Houston,3000,,,,,,,,,,,,,,,,,,,,
125,PHI @ DAL,Brandon Smith,3000,,,,,,,,,,,,,,,,,,,,
126,SEA @ KC,Ihmir Smith-Marsette,3000,,,,,,,,,,,,,,,,,,,,
127,HOU @ TEN,Johnny Johnson I,3000,,,,,,,,,,,,,,,,,,,,
128,DEN @ LAR,Montrell Washington,3000,,,,,,,,,,,,,,,,,,,,
129,ATL @ BAL,Tylan Wallace,3000,,,,,,,,,,,,,,,,,,,,
130,LV @ PIT,Calvin Austin I,3000,,,,,,,,,,,,,,,,,,,,
131,HOU @ TEN,D.J. Montgomery,3000,,,,,,,,,,,,,,,,,,,,
132,WAS @ SF,Tay Martin,3000,,,,,,,,,,,,,,,,,,,,
133,PHI @ DAL,Jalen Tolbert,3000,,,,,,,,,,,,,,,,,,,,
134,DET @ CAR,Shi Smith,3000,,,,,,,,,,,,,,,,,,,,
135,GB @ MIA,Braylon Sanders,3000,,,,,,,,,,,,,,,,,,,,
136,DET @ CAR,Stanley Berryhill I,3000,,,,,,,,,,,,,,,,,,,,
137,SEA @ KC,Bo Melton,3000,,,,,,,,,,,,,,,,,,,,
138,ATL @ BAL,Josh Ali,3000,,,,,,,,,,,,,,,,,,,,
139,CIN @ NE,Lynn Bowden Jr.,3000,,,,,,,,,,,,,,,,,,,,
140,GB @ MIA,Jeff Cotton Jr.,3000,,,,,,,,,,,,,,,,,,,,
141,NO @ CLE,Daylen Baldwin,3000,,,,,,,,,,,,,,,,,,,,
142,NO @ CLE,Michael Woods,3000,,,,,,,,,,,,,,,,,,,,
143,WAS @ SF,Dyami Brown,3000,,,,,,,,,,,,,,,,,,,,
144,ATL @ BAL,Rashod Bateman,3000,,,,,,,,,,,,,,,,,,,,
145,CIN @ NE,Tyquan Thornton,3000,,,,,,,,,,,,,,,,,,,,
146,SEA @ KC,Justyn Ross,3000,,,,,,,,,,,,,,,,,,,,
147,JAC @ NYJ,Seth Williams,3000,,,,,,,,,,,,,,,,,,,,
148,GB @ MIA,Erik Ezukanma,3000,,,,,,,,,,,,,,,,,,,,
149,PHI @ DAL,Simi Fehoko,3000,,,,,,,,,,,,,,,,,,,,
150,NYG @ MIN,Jalen Nailor,3000,,,,,,,,,,,,,,,,,,,,
151,HOU @ TEN,Kyle Philips,3000,,,,,,,,,,,,,,,,,,,,
152,NO @ CLE,Anthony Schwartz,3000,,,,,,,,,,,,,,,,,,,,
153,JAC @ NYJ,Kevin Austin Jr.,3000,,,,,,,,,,,,,,,,,,,,
154,LAC @ IND,John Hightower,3000,,,,,,,,,,,,,,,,,,,,
155,BUF @ CHI,Khalil Shakir,3000,,,,,,,,,,,,,,,,,,,,
156,TB @ ARI,Deven Thompkins,3000,,,,,,,,,,,,,,,,,,,,
157,WAS @ SF,Dax Milne,3000,,,,,,,,,,,,,,,,,,,,
158,ATL @ BAL,Shemar Bridges,3000,,,,,,,,,,,,,,,,,,,,
159,HOU @ TEN,John Metchie I,3000,,,,,,,,,,,,,,,,,,,,
